name,price,price_per_unit,category
"Aceite de oliva 0,4º Hacendado",18.95,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
"Aceite de oliva 0,4º Hacendado",4.20,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva virgen extra Hacendado,14.95,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva virgen extra Hacendado,5.25,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva virgen extra Hacendado Gran Selección,5.95,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva 1º Hacendado,18.95,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva 1º Hacendado,4.20,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva virgen Hacendado,12.70,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva virgen Hacendado,4.65,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva virgen extra Hacendado,2.80,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de oliva virgen extra Picual Casa Juncal,5.45,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
"Aceite de girasol refinado 0,2º Hacendado",8.70,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
"Aceite de girasol refinado 0,2º Hacendado",1.80,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Aceite de coco virgen Hacendado,5.45,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Vinagre de vino blanco Hacendado,0.65,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Vinagre de manzana Hacendado,0.90,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Limón exprimido Hacendado,1.05,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Crema de vinagre balsámico de Módena Hacendado,1.75,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Vinagre de Jerez reserva Hacendado,2.00,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Reducción bálsamica de vinagre Pedro Ximénez Hacendado,2.25,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Vinagre balsámico de Módena Hacendado,2.35,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal fina Hacendado,0.40,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal fina de mesa Hacendado,0.75,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal yodada fina Hacendado,0.45,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal gruesa Hacendado,0.40,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Bicarbonato de sódio Hacendado,1.50,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Bicarbonato de sódio Hacendado,1.10,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Escamas de sal marina natural Polasal,2.00,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal gruesa para hornear Hacendado,1.40,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal de ajo Hacendado,1.80,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal de frutas sabor limón Hacendado,2.10,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal 60% menos de sodio Hacendado,2.30,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Preparado para ahumar Hacendado,3.30,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Sal rosa del Himalaya Hacendado,1.90,N/A,"Aceite especias y salsas > Aceite, vinagre y sal"
Orégano Hacendado,1.00,N/A,Aceite especias y salsas > Especias
Perejil Hacendado,0.90,N/A,Aceite especias y salsas > Especias
Hoja de laurel Hacendado,0.85,N/A,Aceite especias y salsas > Especias
Hierbas provenzales Hacendado,1.20,N/A,Aceite especias y salsas > Especias
Albahaca Hacendado,1.25,N/A,Aceite especias y salsas > Especias
Romero Hacendado,1.35,N/A,Aceite especias y salsas > Especias
Tomillo Hacendado,1.05,N/A,Aceite especias y salsas > Especias
Eneldo Hacendado,1.85,N/A,Aceite especias y salsas > Especias
Cilantro Hacendado,1.85,N/A,Aceite especias y salsas > Especias
Ajo y Perejil Hacendado,1.35,N/A,Aceite especias y salsas > Especias
Colorante alimentario Hacendado,0.95,N/A,Aceite especias y salsas > Especias
Pimentón dulce Hacendado,1.00,N/A,Aceite especias y salsas > Especias
Pimentón dulce de la Vera Hacendado,1.85,N/A,Aceite especias y salsas > Especias
Azafrán molido Hacendado,1.80,N/A,Aceite especias y salsas > Especias
Azafrán hebra Hacendado,1.85,N/A,Aceite especias y salsas > Especias
Pimentón picante Hacendado,1.35,N/A,Aceite especias y salsas > Especias
Pimentón dulce Hacendado,1.30,N/A,Aceite especias y salsas > Especias
Pimienta negra molida Hacendado,1.30,N/A,Aceite especias y salsas > Especias
Molinillo pimienta negra Hacendado,1.85,N/A,Aceite especias y salsas > Especias
Pimienta negra en grano Hacendado,1.70,N/A,Aceite especias y salsas > Especias
Molinillo mix pimientas Hacendado,1.95,N/A,Aceite especias y salsas > Especias
Pimienta blanca molida Hacendado,2.30,N/A,Aceite especias y salsas > Especias
Ajo granulado Hacendado,1.20,N/A,Aceite especias y salsas > Especias
Cebolla frita crujiente Hacendado,1.15,N/A,Aceite especias y salsas > Especias
Canela molida Hacendado,1.00,N/A,Aceite especias y salsas > Especias
Canela en rama Hacendado,1.50,N/A,Aceite especias y salsas > Especias
Comino molido Hacendado,1.20,N/A,Aceite especias y salsas > Especias
Comino en grano Hacendado,1.95,N/A,Aceite especias y salsas > Especias
Curry Hacendado,1.30,N/A,Aceite especias y salsas > Especias
Nuez moscada molida Hacendado,1.65,N/A,Aceite especias y salsas > Especias
Cebolla en polvo Hacendado,0.94,N/A,Aceite especias y salsas > Especias
Cayena guindillas Hacendado,1.36,N/A,Aceite especias y salsas > Especias
Cayena molida Hacendado,1.65,N/A,Aceite especias y salsas > Especias
Cúrcuma Hacendado,1.30,N/A,Aceite especias y salsas > Especias
Jengibre molido Hacendado,1.65,N/A,Aceite especias y salsas > Especias
Sal de ajo Hacendado,1.80,N/A,Aceite especias y salsas > Especias
Ñoras Hacendado,1.56,N/A,Aceite especias y salsas > Especias
Clavo en grano Hacendado,1.75,N/A,Aceite especias y salsas > Especias
Piñones Hacendado,3.02,N/A,Aceite especias y salsas > Especias
Ñora picada Hacendado,1.36,N/A,Aceite especias y salsas > Especias
Pimientos secos Hacendado,2.03,N/A,Aceite especias y salsas > Especias
Sazonador para fajitas Hacendado sabor tex-mex,0.85,N/A,Aceite especias y salsas > Especias
Sazonador ajo y limón Hacendado para carne y pescado,1.05,N/A,Aceite especias y salsas > Especias
Sazonador hierbas provenzales Hacendado para pollo y costillas,1.00,N/A,Aceite especias y salsas > Especias
Sazonador barbacoa Hacendado para pollo y costillas,1.30,N/A,Aceite especias y salsas > Especias
Sazonador para paella con azafrán Hacendado,1.50,N/A,Aceite especias y salsas > Especias
Sazonador para burritos Hacendado,1.30,N/A,Aceite especias y salsas > Especias
Sazonador pollo y carne Hacendado,1.40,N/A,Aceite especias y salsas > Especias
Sazonador pasta Hacendado,1.60,N/A,Aceite especias y salsas > Especias
Mezcla de especias para gazpacho manchego Hacendado,2.50,N/A,Aceite especias y salsas > Especias
Mayonesa Hacendado,1.20,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Mayonesa Hacendado,1.00,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Mayonesa Hacendado,1.40,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Mayonesa en sobres individuales Hacendado,1.30,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Mayonesa Hellmann's,2.65,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Salsa Original Ligeresa,2.35,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Salsa Original Ligeresa,2.65,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Mayonesa Ybarra,2.35,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Salsa fina Kraft,2.00,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Salsa Light Hacendado,1.20,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Salsa Light Hacendado,1.40,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Ketchup Hacendado,1.15,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Ketchup en sobres individuales Hacendado,1.40,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Salsa de tomate Zero sin azúcares añadidos Hacendado,1.60,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Mostaza a la antigua Hacendado,1.70,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Mostaza de Dijon Hacendado,1.25,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Mostaza clásica Hacendado,1.35,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Allioli Chovi,1.45,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Allioli Hacendado,1.10,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Allioli en sobres individuales Hacendado,1.50,N/A,"Aceite especias y salsas > Mayonesa, ketchup y mostaza"
Tomate frito Hacendado,1.35,N/A,Aceite especias y salsas > Otras salsas
Tomate frito Hacendado,0.95,N/A,Aceite especias y salsas > Otras salsas
Tomate frito Hacendado,0.90,N/A,Aceite especias y salsas > Otras salsas
Tomate frito receta artesana Hacendado,2.10,N/A,Aceite especias y salsas > Otras salsas
Tomate frito receta artesana Hacendado,1.50,N/A,Aceite especias y salsas > Otras salsas
Tomate frito Hida,1.75,N/A,Aceite especias y salsas > Otras salsas
Tomate frito estilo casero Hacendado,1.20,N/A,Aceite especias y salsas > Otras salsas
Tomate frito Hacendado con aceite de oliva,1.40,N/A,Aceite especias y salsas > Otras salsas
Tomate frito sin azúcares añadidos Hacendado,1.10,N/A,Aceite especias y salsas > Otras salsas
Salsa Barbacoa Hacendado,1.15,N/A,Aceite especias y salsas > Otras salsas
Salsa pimienta verde Hacendado,1.25,N/A,Aceite especias y salsas > Otras salsas
Salsa Burger Hacendado,1.35,N/A,Aceite especias y salsas > Otras salsas
Salsa Piri Piri Hacendado,1.00,N/A,Aceite especias y salsas > Otras salsas
Salsa curry Tikka Masala Hacendado picante,2.00,N/A,Aceite especias y salsas > Otras salsas
Salsa Pesto con albahaca Hacendado,1.95,N/A,Aceite especias y salsas > Otras salsas
Salsa de tomate Boloñesa Hacendado,1.90,N/A,Aceite especias y salsas > Otras salsas
Salsa de tomate con Albahaca Hacendado,1.75,N/A,Aceite especias y salsas > Otras salsas
Salsa fresca Trufa Hacendado,1.45,N/A,Aceite especias y salsas > Otras salsas
Salsa fresca Queso Hacendado,1.45,N/A,Aceite especias y salsas > Otras salsas
Salsa fresca Pesto con albahaca Hacendado,2.00,N/A,Aceite especias y salsas > Otras salsas
Salsa fresca Setas Hacendado,1.65,N/A,Aceite especias y salsas > Otras salsas
Salsa fresca Carbonara Hacendado,1.65,N/A,Aceite especias y salsas > Otras salsas
Salsa de Soja Hacendado,1.25,N/A,Aceite especias y salsas > Otras salsas
Salsa Teriyaki Hacendado,1.65,N/A,Aceite especias y salsas > Otras salsas
Salsa Agridulce Hacendado,Price not available,N/A,Aceite especias y salsas > Otras salsas
Salsa Thai Chili dulce J-Lek,1.55,N/A,Aceite especias y salsas > Otras salsas
Salsa de Soja sin gluten Hacendado,2.50,N/A,Aceite especias y salsas > Otras salsas
Guacamole Hacendado,3.95,N/A,Aceite especias y salsas > Otras salsas
Guacamole Hacendado,1.75,N/A,Aceite especias y salsas > Otras salsas
Salsa Yogur Hacendado,1.20,N/A,Aceite especias y salsas > Otras salsas
Bechamel Hacendado,2.25,N/A,Aceite especias y salsas > Otras salsas
Salsa Mexicana Hacendado,1.25,N/A,Aceite especias y salsas > Otras salsas
Salsa Ranch Hacendado,1.35,N/A,Aceite especias y salsas > Otras salsas
Salsa César Hacendado,1.40,N/A,Aceite especias y salsas > Otras salsas
Aliño de aceite con perejil y ajo Hacendado,1.75,N/A,Aceite especias y salsas > Otras salsas
Salsa Miel y Mostaza Hacendado,1.45,N/A,Aceite especias y salsas > Otras salsas
Salsa de Trufa,3.10,N/A,Aceite especias y salsas > Otras salsas
Salsa Gajo Rústica Hacendado,1.35,N/A,Aceite especias y salsas > Otras salsas
Salsa de Queso Hacendado,1.65,N/A,Aceite especias y salsas > Otras salsas
Chili con carne Hacendado,2.80,N/A,Aceite especias y salsas > Otras salsas
Salsa Cocktail Hacendado,1.40,N/A,Aceite especias y salsas > Otras salsas
Carne de pimiento choricero Hacendado,1.55,N/A,Aceite especias y salsas > Otras salsas
Pasta de sésamo Tahini Hacendado,2.95,N/A,Aceite especias y salsas > Otras salsas
Agua mineral grande Fuente Dehesa,1.28,N/A,Agua y refrescos > Agua
Agua mineral grande Fuente Dehesa,2.34,N/A,Agua y refrescos > Agua
Agua mineral grande Fuente Dehesa,0.39,N/A,Agua y refrescos > Agua
Agua mineral mediana Fuente Dehesa,3.00,N/A,Agua y refrescos > Agua
Agua mineral mediana Fuente Dehesa,0.50,N/A,Agua y refrescos > Agua
Agua mineral pequeña Fuente Dehesa,1.74,N/A,Agua y refrescos > Agua
Agua mineral pequeña Fuente Dehesa,0.29,N/A,Agua y refrescos > Agua
Agua mineral pequeña Fuente Dehesa tapón infantil,2.40,N/A,Agua y refrescos > Agua
Agua mineral pequeña Fuente Dehesa tapón infantil,0.40,N/A,Agua y refrescos > Agua
Agua mineral grande Bronchales,1.28,N/A,Agua y refrescos > Agua
Agua mineral grande Bronchales,2.34,N/A,Agua y refrescos > Agua
Agua mineral grande Bronchales,0.39,N/A,Agua y refrescos > Agua
Agua mineral mediana Bronchales,3.00,N/A,Agua y refrescos > Agua
Agua mineral mediana Bronchales,0.50,N/A,Agua y refrescos > Agua
Agua mineral pequeña Bronchales,1.74,N/A,Agua y refrescos > Agua
Agua mineral pequeña Bronchales,0.29,N/A,Agua y refrescos > Agua
Agua mineral pequeña Bronchales tapón infantil,2.40,N/A,Agua y refrescos > Agua
Agua mineral pequeña Bronchales tapón infantil,0.40,N/A,Agua y refrescos > Agua
Agua mineral grande Bezoya,4.44,N/A,Agua y refrescos > Agua
Agua mineral grande Bezoya,0.74,N/A,Agua y refrescos > Agua
Agua mineral grande Nestlé Aquarel,3.72,N/A,Agua y refrescos > Agua
Agua mineral grande Nestlé Aquarel,0.62,N/A,Agua y refrescos > Agua
Agua mineral grande Font Vella,3.90,N/A,Agua y refrescos > Agua
Agua mineral grande Font Vella,0.68,N/A,Agua y refrescos > Agua
Agua mineral grande Solán de Cabras,5.52,N/A,Agua y refrescos > Agua
Agua mineral grande Solán de Cabras,0.92,N/A,Agua y refrescos > Agua
Agua mineral grande Lanjarón,4.20,N/A,Agua y refrescos > Agua
Agua mineral grande Lanjarón,0.73,N/A,Agua y refrescos > Agua
Agua mineral grande Liviana,4.80,N/A,Agua y refrescos > Agua
Agua mineral grande Liviana,0.80,N/A,Agua y refrescos > Agua
Agua mineral grande Aquadeus,1.50,N/A,Agua y refrescos > Agua
Agua mineral grande Aquadeus,0.25,N/A,Agua y refrescos > Agua
Agua mineral grande Neval,0.92,N/A,Agua y refrescos > Agua
Agua mineral grande Neval,0.81,N/A,Agua y refrescos > Agua
Agua mineral grande Neval,1.50,N/A,Agua y refrescos > Agua
Agua mineral grande Neval,0.25,N/A,Agua y refrescos > Agua
Agua mineral mediana Neval,2.40,N/A,Agua y refrescos > Agua
Agua mineral mediana Neval,0.40,N/A,Agua y refrescos > Agua
Agua mineral pequeña Neval,1.44,N/A,Agua y refrescos > Agua
Agua mineral pequeña Neval,0.24,N/A,Agua y refrescos > Agua
Agua mineral pequeña Neval tapón infantil,1.56,N/A,Agua y refrescos > Agua
Agua mineral pequeña Neval tapón infantil,0.26,N/A,Agua y refrescos > Agua
Agua de coco Hacendado 100% natural,2.60,N/A,Agua y refrescos > Agua
Agua mineral con gas grande Vichy Catalan,1.49,N/A,Agua y refrescos > Agua
Agua mineral con gas pequeña Vichy Catalan,5.89,N/A,Agua y refrescos > Agua
Agua mineral con gas grande Cortes,2.58,N/A,Agua y refrescos > Agua
Agua mineral con gas grande Cortes,0.43,N/A,Agua y refrescos > Agua
Agua mineral con gas pequeña Cortes,1.74,N/A,Agua y refrescos > Agua
Agua mineral con gas pequeña Cortes,0.29,N/A,Agua y refrescos > Agua
Agua mineral con gas grande San Pellegrino,8.34,N/A,Agua y refrescos > Agua
Agua mineral con gas grande San Pellegrino,1.39,N/A,Agua y refrescos > Agua
Agua de soda con sifón La Casa,1.60,N/A,Agua y refrescos > Agua
Agua mineral con gas grande Fonter,6.84,N/A,Agua y refrescos > Agua
Agua mineral con gas grande Fonter,1.14,N/A,Agua y refrescos > Agua
Agua mineral con gas grande Parot,4.44,N/A,Agua y refrescos > Agua
Agua mineral con gas grande Parot,0.74,N/A,Agua y refrescos > Agua
Agua mineral con gas pequeña Partot,2.58,N/A,Agua y refrescos > Agua
Agua mineral con gas pequeña Partot,0.43,N/A,Agua y refrescos > Agua
Gaseosa Hacendado grande,0.50,N/A,Agua y refrescos > Agua
Gaseosa Hacendado pequeña,1.92,N/A,Agua y refrescos > Agua
Gaseosa Hacendado pequeña,0.32,N/A,Agua y refrescos > Agua
Gaseosa La Casera grande,1.88,N/A,Agua y refrescos > Agua
Gaseosa La Casera grande,1.25,N/A,Agua y refrescos > Agua
Bebida isotónica limón Aquarius,1.99,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica limón Aquarius,7.12,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica limón Aquarius,0.95,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica sabor cítrico Iso drink,1.00,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica sabor cítrico Iso drink,2.70,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica sabor cítrico Iso drink,0.45,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica naranja Aquarius,1.99,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica naranja Aquarius,7.12,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica naranja Aquarius,0.95,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica limón Aquarius zero azúcar,1.99,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica de naranja Iso drink,1.00,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica de naranja Iso drink,2.70,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica de naranja Iso drink,0.45,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica Iso On blue Hacendado,1.55,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica Iso On blue Hacendado,0.70,N/A,Agua y refrescos > Isotónico y energético
Bebida isotónica sabor cítrico Iso drink zero,1.00,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Energy Drink Zero Hacendado,2.40,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Zero Hacendado,0.40,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Energy Ultra zero Monster,5.36,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Energy Ultra zero Monster,1.45,N/A,Agua y refrescos > Isotónico y energético
Bebida energética energy Monster,5.36,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Energy Monster,1.45,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Energy Drink Hacendado,1.60,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Energy Drink Hacendado,2.40,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Energy Drink Hacendado,0.40,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Red Bull,6.00,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Red Bull,1.59,N/A,Agua y refrescos > Isotónico y energético
Bebida energética original Burn,3.32,N/A,Agua y refrescos > Isotónico y energético
Bebida energética original Burn,1.00,N/A,Agua y refrescos > Isotónico y energético
Gel energético con cafeína Enervit Sport sabor cítricos,3.75,N/A,Agua y refrescos > Isotónico y energético
Bebida energética Mango Loco Monster,5.36,N/A,Agua y refrescos > Isotónico y energético
